Q114	Kenya
Q79	Egypt
Q912	Mali
Q916	Angola
Q115	Ethiopia
Q924	Tanzania
Q262	Algeria
Q258	South Africa
Q929	Central African Republic
Q117	Ghana
Q945	Togo
Q953	Zambia
Q954	Zimbabwe
Q958	South Sudan
Q657	Chad
Q962	Benin
Q965	Burkina Faso
Q967	Burundi
Q963	Botswana
Q970	Comoros
Q974	Democratic Republic of the Congo
Q948	Tunisia
Q971	Republic of the Congo
Q977	Djibouti
Q986	Eritrea
Q1005	Gambia
Q1005	The Gambia
Q1000	Gabon
Q1008	Ivory Coast
Q1006	Guinea
Q1007	Guinea-Bissau
Q983	Equatorial Guinea
Q1011	Cape Verde
Q1013	Lesotho
Q1009	Cameroon
Q1014	Liberia
Q1016	Libya
Q1019	Madagascar
Q1020	Malawi
Q1025	Mauritania
Q1027	Mauritius
Q1028	Morocco
Q1030	Namibia
Q1032	Niger
Q1033	Nigeria
Q1036	Uganda
Q1037	Rwanda
Q1039	São Tomé and Príncipe
Q1029	Mozambique
Q1041	Senegal
Q1044	Sierra Leone
Q1042	Seychelles
Q1045	Somalia
Q1049	Sudan
Q1050	Eswatini
Q218023	Orange Free State
